question_text,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3,category,difficulty
"What is the capital of France?","Paris","London","Berlin","Madrid","Geography","easy"
"Who painted the Mona Lisa?","Leonardo da Vinci","Michelangelo","Raphael","Donatello","Art","medium"
"What is the chemical symbol for gold?","Au","Ag","Fe","Cu","Science","easy"
"What year did World War II end?","1945","1944","1946","1943","History","medium"
"What is the largest planet in our solar system?","Jupiter","Saturn","Neptune","Uranus","Science","easy"
"Who wrote Romeo and Juliet?","William Shakespeare","Charles Dickens","Jane Austen","Mark Twain","Literature","easy"
"What is the speed of light in m/s?","299792458","300000000","299000000","298000000","Science","hard"
"In which year was the Declaration of Independence signed?","1776","1775","1777","1774","History","medium"
"What is the smallest prime number?","2","1","3","0","Mathematics","easy"
"Who developed the theory of relativity?","Albert Einstein","Isaac Newton","Stephen Hawking","Galileo Galilei","Science","hard"
